"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","elevation","eventDate","eventRemarks","family","familyKey","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceSources","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive","http://unknown.org/nick","http://unknown.org/recordEnteredBy","http://unknown.org/recordID","identificationID","identifiedBy","identifier","inCluster","individualCount","informationWithheld","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","lon","modified","month","municipality","nomenclaturalCode","nomenclaturalStatus","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","scientificName","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimElevation","verbatimEventDate","verbatimLocality","year","downloadDate"
"1","Aloe ballyi Reynolds",2778017,NA,NA,NA,"LIVING_SPECIMEN",NA,NA,"Liliopsida",196,"Meise Botanic Garden, Belgium",NA,NA,NA,NA,NA,"Belgium",175,NA,"68c91b9a-2322-4f60-8d58-2c696a73a11c",NA,NA,18,NA,"2018-06-18T00:00:00",NA,"Asphodelaceae",4259209,NA,"Belgium","1851879221","Aloe","Aloe",2770879,NA,NA,NA,NA,NA,NA,NA,"a344ee9f-f1b7-4761-be2c-58ee6d741395",NA,NA,NA,NA,NA,NA,"2017056190",FALSE,NA,NA,"4c5fccfd-c052-42ec-97ab-a4657ec27751","BR","http://biocol.org/urn:lsid:biocol.org:col:15605","3b896e03-901d-4cc7-ac2b-61e0469521b0",FALSE,"BE","EN",1851879221,"Plantae",6,"en","2022-03-08T19:54:57.539+00:00","2022-03-08T19:55:17.360+00:00","2022-03-08T19:55:17.360+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","Meise Botanic Garden",NA,"2018-09-11T10:00:00.000+00:00",6,NA,"ICBN",NA,"2017056190",NA,"PRESENT","Asparagales",1169,NA,NA,"Tracheophyta",7707728,"DWC_ARCHIVE","BE","a344ee9f-f1b7-4761-be2c-58ee6d741395",NA,NA,"http://db.plantentuinmeise.be/RESEARCH/COLLECTIONS/LIVING/LIVCOL/list/n_2017056190.html",NA,NA,"Meise Botanic Garden","Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,NA,2778017,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,2018,2022-03-09
"2","Aloe ballyi Reynolds",2778017,"Arusha",NA,NA,"HUMAN_OBSERVATION",NA,"533189","Liliopsida",196,"Arusha, Tanzania","Observations",NA,NA,NA,31425,"Tanzania",295,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-06-10T17:46:19",7,NA,"2012-06-07T00:00:00",NA,"Asphodelaceae",4259209,NA,"Tanzania, United Republic of","1901089479","Aloe","Aloe",2770879,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild","allenratzlaff",NA,NA,"6541817","J. Allen Ratzlaff","533189",FALSE,NA,"Coordinate uncertainty increased to 31425m to protect threatened taxon","997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"TZ","EN",1901089479,"Plantae",6,NA,"2022-03-08T14:18:01.172+00:00","2022-03-08T17:47:13.601+00:00","2022-03-08T17:47:13.601+00:00",-3.303004,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,35.849351,"2020-11-18T15:52:49.000+00:00",6,NA,NA,NA,"http://www.inaturalist.org/observations/533189",NA,"PRESENT","Asparagales",1169,NA,NA,"Tracheophyta",7707728,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","J. Allen Ratzlaff",NA,"https://www.inaturalist.org/observations/533189","flowering",NA,"J. Allen Ratzlaff","Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,"435472",2778017,"ACCEPTED","SPECIES",NA,NA,NA,"6/7/2012","Arusha, TZ",2012,2022-03-09
"3","Aloe ballyi Reynolds",2778017,"California","Orange",NA,"PRESERVED_SPECIMEN",NA,NA,"Liliopsida",196,"Irvine; UCI Arboretum, California, Orange, United States",NA,"3818c5b4-b6a4-11e8-b408-001a64db2964",NA,NA,NA,"United States",124,NA,"e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5",NA,NA,22,15,"2004-05-22T00:00:00",NA,"Asphodelaceae",4259209,NA,"United States of America","2422530624","Aloe","Aloe",2770879,"WGS84",NA,NA,"Collector GPS","Cultivation.","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Asparagales|Asphodelaceae|Aloe",NA,"fb702600-a84e-11de-978d-b8a03c50a862",NA,NA,NA,"urn:uuid:c6fc25e8-f829-4847-ab16-51640e5bada8",NA,NA,"3597086",FALSE,NA,NA,"cb27a4ab-3360-4cf5-b5de-48a06a9c47ae","UCR",NA,NA,FALSE,"US","EN",2422530624,"Plantae",6,NA,"2022-03-01T16:59:36.729+00:00","2022-03-01T17:05:08.689+00:00","2022-03-01T17:05:08.689+00:00",33.66444,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Irvine; UCI Arboretum",-117.85389,"2022-02-20T02:35:36.000+00:00",5,NA,NA,NA,"UCR-BPS-146896","Flowers orange with light tips; voucher for UCI Arboretum #4633.","PRESENT","Asparagales",1169,"UCR-146896",NA,"Tracheophyta",7707728,"DWC_ARCHIVE","US","53e59855-7653-4d3e-87cc-162021713823","Mark A. Elvin","3461","https://cch2.org/portal/collections/individual/index.php?occid=3597086","Flowering","http://creativecommons.org/licenses/by-nc/4.0/",NA,"Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi","143",NA,"209110",2778017,"ACCEPTED","SPECIES",NA,NA,NA,"2004-5-22",NA,2004,2022-03-09
"4","Aloe ballyi Reynolds",2778017,"California","Orange",NA,"PRESERVED_SPECIMEN",NA,NA,"Liliopsida",196,"UCI Arboretum, California, Orange, United States",NA,"fbf9653f-f51b-4e99-9820-d65161437a24",NA,NA,NA,"United States",1,NA,"7fc39a52-0d5c-40e1-a6a7-c64068a1fa76",NA,NA,22,15,"2004-05-22T00:00:00",NA,"Asphodelaceae",4259209,NA,"United States of America","3503188060","Aloe","Aloe",2770879,"WGS84",NA,"Tustin 7.5'",NA,"Cultivation.","Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Asparagales|Asphodelaceae|Aloe",NA,"fb702600-a84e-11de-978d-b8a03c50a862",NA,NA,"MPE","urn:uuid:c4d54c6b-3806-4e4d-88b1-7a0d59cda738",NA,NA,"630618",FALSE,NA,NA,"cb27a4ab-3360-4cf5-b5de-48a06a9c47ae","IRVC",NA,"fe4e6912-d997-49e4-b7e7-466ed604b63c",FALSE,"US","EN",3503188060,"Plantae",6,NA,"2022-03-01T20:24:39.548+00:00","2022-03-01T20:25:39.495+00:00","2022-03-01T20:25:39.495+00:00",33.66444,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","UCI Arboretum",-117.85389,"2017-05-12T00:00:00.000+00:00",5,NA,NA,NA,"c4d54c6b-3806-4e4d-88b1-7a0d59cda738","Fls. orange with light tips; voucher for UCIArboretum #4633.","PRESENT","Asparagales",1169,"IRVC26533",NA,"Tracheophyta",7707728,"DWC_ARCHIVE","US","56c3269a-8eb1-42aa-9091-d22acc0d5795","Mark A. Elvin","3461","https://cch2.org/portal/collections/individual/index.php?occid=630618","Flowering","http://creativecommons.org/licenses/by-nc/4.0/",NA,"Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi","143",NA,"209110",2778017,"ACCEPTED","SPECIES",NA,NA,NA,"22 May 2004",NA,2004,2022-03-09
"5","Aloe ballyi Reynolds",2778017,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"K000210682","Liliopsida",196,"NE of town, Kenya","Herbarium",NA,"dceb8d52-094c-4c2c-8960-75e0097c6861",NA,NA,"Kenya",153,NA,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5",NA,NA,27,NA,"1993-06-27T00:00:00","Unbranched tree to 4m tall, suckering sparsely at base. Inflorescence 25 cm long, 11 branched, flowers secund.","Asphodelaceae",4259209,NA,"Kenya","912192231","Aloe","Aloe",2770879,"WGS84","label",NA,NA,"Relic scrub bordering river.","ALOACEAE","Kiambu","061b4f20-f241-11da-a328-b8a03c50a862",NA,NA,NA,NA,NA,NA,"K000210682",FALSE,NA,NA,"996e30f8-f762-11e1-a439-00145eb45e9a","K",NA,"fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"KE","EN",912192231,"Plantae",6,NA,"2021-11-26T09:54:57.270+00:00","2022-01-30T13:45:02.518+00:00","2022-01-30T13:45:02.518+00:00",-1.17,"http://creativecommons.org/licenses/by/4.0/legalcode","NE of town",37.02,NA,6,"Kiambu",NA,NA,"http://specimens.kew.org/herbarium/K000210682",NA,"PRESENT","Asparagales",1169,NA,NA,"Tracheophyta",7707728,"DWC_ARCHIVE","GB","061b4f20-f241-11da-a328-b8a03c50a862","Newton, L.E.","4063",NA,NA,NA,NA,"Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,NA,2778017,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,1993,2022-03-09
"6","Aloe ballyi Reynolds",2778017,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"K000210681","Liliopsida",196,"Kenya","Herbarium",NA,"dceb8d52-094c-4c2c-8960-75e0097c6861",NA,NA,"Kenya",153,NA,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5",NA,"1993-08-19T00:00:00",11,1460,"1992-03-11T00:00:00","Unbranched tree to 4 m tall, not seen in flower.","Asphodelaceae",4259209,NA,"Kenya","912192195","Aloe","Aloe",2770879,"WGS84","label",NA,NA,"Thicket along N bank of river.","ALOACEAE","Kiambu","061b4f20-f241-11da-a328-b8a03c50a862",NA,NA,NA,NA,NA,"Carter, S.","K000210681",FALSE,NA,NA,"996e30f8-f762-11e1-a439-00145eb45e9a","K",NA,"fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"KE","EN",912192195,"Plantae",6,NA,"2021-11-26T09:54:57.270+00:00","2022-01-30T13:45:07.396+00:00","2022-01-30T13:45:07.396+00:00",-1.2,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,37.07,NA,3,"Kiambu",NA,NA,"http://specimens.kew.org/herbarium/K000210681","Seen for "" Flora of Tropical east Africa"".","PRESENT","Asparagales",1169,NA,NA,"Tracheophyta",7707728,"DWC_ARCHIVE","GB","061b4f20-f241-11da-a328-b8a03c50a862","Newton, L.E.; Carter, S.","4025",NA,NA,NA,NA,"Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,NA,2778017,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,1992,2022-03-09
"7","Aloe ballyi Reynolds",2778017,"Central","Kiambu",NA,"PRESERVED_SPECIMEN","http://www.tropicos.org/Specimen/3018177","3018177","Liliopsida",196,"Kiambu District:Nairobi R. Falls, Central, Kiambu, Kenya, AFRICA","MO","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"AFRICA",NA,"Kenya",192,NA,"7bd65a7a-f762-11e1-a439-00145eb45e9a","Tropicos",NA,NA,NA,"1992-03-01T00:00:00",NA,"Asphodelaceae",4259209,NA,"Kenya","1260391435","Aloe","Aloe",2770879,"WGS84",NA,NA,NA,NA,NA,NA,"90fd6680-349f-11d8-aa2d-b8a03c50a862",NA,NA,NA,NA,NA,"FTEA","urn:catalog:MO:Tropicos:3018177",FALSE,1,NA,"c4e134d3-c68f-406d-a116-6a37895602e0","MO",NA,"1be3aa67-8f90-4309-92f4-bd55426a8c09",FALSE,"KE","EN",1260391435,"Plantae",6,NA,"2021-11-21T19:30:21.621+00:00","2022-01-29T19:47:16.927+00:00","2022-01-29T19:47:16.927+00:00",-1.2,"http://creativecommons.org/licenses/by/4.0/legalcode","Kiambu District:Nairobi R. Falls",37.066667,NA,3,NA,"ICNafp","No opinion","urn:catalog:MO:Tropicos:3018177",NA,"PRESENT","Asparagales",1169,NA,"MOBOT","Tracheophyta",7707728,"DWC_ARCHIVE","US","90fd6680-349f-11d8-aa2d-b8a03c50a862","L.E. Newton","Newton 4025",NA,NA,NA,"Missouri Botanical Garden","Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,"50142452",2778017,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,1992,2022-03-09
"8","Aloe ballyi Reynolds",2778017,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"K000210680","Liliopsida",196,"near, Kenya","Herbarium",NA,"dceb8d52-094c-4c2c-8960-75e0097c6861",NA,NA,"Kenya",153,NA,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5",NA,NA,9,1000,"1983-06-09T00:00:00","Tree aloe to 4m with pink flowers.","Asphodelaceae",4259209,NA,"Kenya","912192203","Aloe","Aloe",2770879,"WGS84","label",NA,NA,"Roadside.","ALOACEAE","Taita-Taveta","061b4f20-f241-11da-a328-b8a03c50a862",NA,NA,NA,NA,NA,NA,"K000210680",FALSE,NA,NA,"996e30f8-f762-11e1-a439-00145eb45e9a","K",NA,"fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"KE","EN",912192203,"Plantae",6,NA,"2021-11-26T09:54:57.270+00:00","2022-01-30T13:45:07.396+00:00","2022-01-30T13:45:07.396+00:00",-3.5,"http://creativecommons.org/licenses/by/4.0/legalcode","near",38.3,NA,6,"Taita-Taveta",NA,NA,"http://specimens.kew.org/herbarium/K000210680","(Planted at Waa and Malindi). Seen for "" Flora of Tropical east Africa"".","PRESENT","Asparagales",1169,NA,NA,"Tracheophyta",7707728,"DWC_ARCHIVE","GB","061b4f20-f241-11da-a328-b8a03c50a862","Robertson, S.A.","3589",NA,NA,NA,NA,"Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,NA,2778017,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,1983,2022-03-09
"9","Aloe ballyi Reynolds",2778017,"Coast","Taita",NA,"PRESERVED_SPECIMEN","http://www.tropicos.org/Specimen/3018180","3018180","Liliopsida",196,"Teita District: near Bura, Coast, Taita, Kenya, AFRICA","MO","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"AFRICA",NA,"Kenya",192,NA,"7bd65a7a-f762-11e1-a439-00145eb45e9a","Tropicos",NA,NA,NA,"1983-06-01T00:00:00",NA,"Asphodelaceae",4259209,NA,"Kenya","1260391441","Aloe","Aloe",2770879,"WGS84",NA,NA,NA,NA,NA,NA,"90fd6680-349f-11d8-aa2d-b8a03c50a862",NA,NA,NA,NA,NA,"FTEA","urn:catalog:MO:Tropicos:3018180",FALSE,NA,NA,"c4e134d3-c68f-406d-a116-6a37895602e0","MO",NA,"1be3aa67-8f90-4309-92f4-bd55426a8c09",FALSE,"KE","EN",1260391441,"Plantae",6,NA,"2021-11-21T19:30:21.621+00:00","2022-01-29T19:46:07.191+00:00","2022-01-29T19:46:07.191+00:00",-3.46666,"http://creativecommons.org/licenses/by/4.0/legalcode","Teita District: near Bura",38.3,NA,6,NA,"ICNafp","No opinion","urn:catalog:MO:Tropicos:3018180",NA,"PRESENT","Asparagales",1169,NA,"MOBOT","Tracheophyta",7707728,"DWC_ARCHIVE","US","90fd6680-349f-11d8-aa2d-b8a03c50a862","S. Ann Robertson","Robertson (Chambers) 3589",NA,NA,NA,"Missouri Botanical Garden","Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,"50142452",2778017,"ACCEPTED","SPECIES","PhysicalObject",NA,NA,NA,NA,1983,2022-03-09
"10","Aloe ballyi Reynolds",2778017,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"K000210677","Liliopsida",196,"20 miles east of, 50 miles east of Nairobi, Kenya","Herbarium",NA,"dceb8d52-094c-4c2c-8960-75e0097c6861",NA,NA,"Kenya",153,NA,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5",NA,"1993-07-20T00:00:00",24,NA,"1953-05-24T00:00:00",NA,"Asphodelaceae",4259209,NA,"Kenya","912192210","Aloe","Aloe",2770879,"WGS84","Gazetteer",NA,NA,NA,"ALOACEAE","Kiambu","061b4f20-f241-11da-a328-b8a03c50a862",NA,NA,NA,NA,NA,"Carter, S.","K000210677",FALSE,NA,NA,"996e30f8-f762-11e1-a439-00145eb45e9a","K",NA,"fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"KE","EN",912192210,"Plantae",6,NA,"2021-11-26T09:54:57.270+00:00","2022-01-30T13:46:01.618+00:00","2022-01-30T13:46:01.618+00:00",-1.05,"http://creativecommons.org/licenses/by/4.0/legalcode","20 miles east of, 50 miles east of Nairobi",37.37,NA,5,"Kiambu",NA,NA,"http://specimens.kew.org/herbarium/K000210677","Collection Number: 6000A. In Reynolds.","PRESENT","Asparagales",1169,NA,NA,"Tracheophyta",7707728,"DWC_ARCHIVE","GB","061b4f20-f241-11da-a328-b8a03c50a862","Delsh, H.A.","6000",NA,NA,NA,NA,"Aloe ballyi Reynolds","Aloe ballyi",2778017,"ballyi",NA,NA,NA,2778017,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,1953,2022-03-09
